Name,Facility Type,AHCA Number (File Number),Phone Number,Licensed Beds,License ID,License Number,License Status,Closed Date,License Effective Date,License Expiration Date,Street Address,Street Address 2,Street City,Street Zip,Street State,Street County,Mailing Address,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Mailing County,Owner,Owner Since,Profit Status,Web Address,Admin/CEO
"JOYFUL LIFE ASSISTED LIVING, INC",Assisted Living Facility,11968416,(239) 537-7716,6,341340,12297,LICENSED,,3/6/2025 12:00:00 AM,3/5/2027 12:00:00 AM,3302 SW 1ST AVE,,CAPE CORAL,33914-5061,FL,Lee,3302 SW 1ST AVE,,CAPE CORAL,FL,33914-5061,Lee,"JOYFUL LIFE ASSISTED LIVING, INC.",10/17/2012 12:00:00 AM,For-Profit,,VIVIAN LORENZO
JUBILEE ASSISTED LIVING II LLC,Assisted Living Facility,11969843,(954) 872-2439,8,475763,13592,LICENSED,,5/5/2025 12:00:00 AM,5/4/2027 12:00:00 AM,16791 REDWOOD WAY,,WESTON,33326,FL,Broward,16791 REDWOOD WAY,,WESTON,FL,33326,,"JUBILEE ASSISTED LIVING II, LLC",3/29/2021 12:00:00 AM,For-Profit,jubileealf.com,YVONNE LOUISE HERNANDEZ
JUBILEE ASSISTED LIVING OF FLORIDA LLC,Assisted Living Facility,11969004,(954) 394-9118,8,384077,12901,LICENSED,,12/11/2024 12:00:00 AM,12/10/2026 12:00:00 AM,16639 REDWOOD WAY,,WESTON,33326,FL,Broward,16639 REDWOOD WAY,,WESTON,FL,33326,Broward,"JUBILEE ASSISTED LIVING OF FLORIDA, LLC",3/21/2016 12:00:00 AM,For-Profit,www.jubileealf.com,YVONNE LOUISE HERNANDEZ
"JULIE HOME CARE, LLC",Assisted Living Facility,11970360,(786) 277-4481,6,541791,13872,IN REVIEW,,3/14/2024 12:00:00 AM,3/13/2026 12:00:00 AM,3435 SW 108TH CT,,MIAMI,33165,FL,Miami-Dade,3435 SW 108TH CT,,MIAMI,FL,33165,Miami-Dade,Julie Home Care,11/1/2019 12:00:00 AM,For-Profit,,MANUEL MEDINILLA
JUPITER ASSISTED LIVING LLC,Assisted Living Facility,11969796,(321) 327-7140,6,460277,13556,LICENSED,,9/10/2024 12:00:00 AM,9/9/2026 12:00:00 AM,3604 JUPITER BLVD SE,,PALM BAY,32909,FL,Brevard,3604 JUPITER BLVD SE,,PALM BAY,FL,32909,Brevard,JUPITER ASSISTED LIVING LLC,9/10/2024 12:00:00 AM,For-Profit,,CECILIA V. CLAXTON
JUST LIKE HOME ALF LLC,Assisted Living Facility,11969800,(772) 475-6004,5,460704,13563,LICENSED,,2/22/2025 12:00:00 AM,2/21/2027 12:00:00 AM,1342 SW DEL RIO BLVD,,PORT SAINT LUCIE,34953,FL,St. Lucie,1342 SW DEL RIO BLVD,,PORT SAINT LUCIE,FL,34953,St. Lucie,JUST LIKE HOME ALF LLC,10/29/2020 12:00:00 AM,For-Profit,,FRANÇOISE ANTOINE
JUSTIN FAMILY ALF,Assisted Living Facility,11967826,(813) 443-2222,6,297614,11790,LICENSED,,8/8/2025 12:00:00 AM,8/7/2027 12:00:00 AM,10103 BAY WIND CT,,TAMPA,33615,FL,Hillsborough,10103 BAY WIND CT,,TAMPA,FL,33615,Hillsborough,"JUSTIN FAMILY A.L.F., LLC",5/10/2015 12:00:00 AM,For-Profit,,SWAMY BRITO-FERNANDEZ
K & S TENDER CARE LLC,Assisted Living Facility,11968691,(321) 557-6588,5,361737,12956,LICENSED,,4/26/2025 12:00:00 AM,4/25/2027 12:00:00 AM,155 AVIATION AVE NE,,PALM BAY,32907,FL,Brevard,1768 WINDING RIDGE CIR. SE,,PALM BAY,FL,32909,Brevard,K & S TENDER CARE LLC,7/3/2014 12:00:00 AM,For-Profit,,KEVIN VACCIANNA
K Y R TENDER CARE LLC,Assisted Living Facility,11967552,(631) 334-8318,5,281679,11582,IN REVIEW,,2/28/2024 12:00:00 AM,2/27/2026 12:00:00 AM,429 EAST IDLEWILD AVE,,EUSTIS,32726,FL,Lake,429 EAST IDLEWILD AVE,,EUSTIS,FL,32726,Lake,"K. Y. R TENDER CARE, LLC",3/2/2009 12:00:00 AM,For-Profit,,VICTORIA E RAMPERSAD
"KARE ASSISTED LIVING, LLC",Assisted Living Facility,11967056,(407) 432-6784,16,243297,11143,LICENSED,,7/4/2025 12:00:00 AM,7/3/2027 12:00:00 AM,2715 UINTAH AVENUE,,ORLANDO,32805,FL,Orange,2700 CONWAY GARDENS RD,,ORLANDO,FL,32806-6601,Orange,"KARE ASSISTED LIVING, LLC",8/16/2007 12:00:00 AM,For-Profit,,SANDRA MATOS
KARELIS HOME CARE LLC,Assisted Living Facility,11969739,(786) 349-5758,6,452196,13494,LICENSED,,7/16/2024 12:00:00 AM,7/15/2026 12:00:00 AM,1536 N.W. 8 AVE,,HOMESTEAD,33030,FL,Miami-Dade,1536 N.W. 8 AVE,,HOMESTEAD,FL,33030,Miami-Dade,"KARELIS HOME CARE, LLC",6/1/2020 12:00:00 AM,For-Profit,,KARELIS GALINDO
KARING HEARTS LLC,Assisted Living Facility,11970028,(954) 701-0258,6,504710,13800,LICENSED,,5/30/2025 12:00:00 AM,5/29/2027 12:00:00 AM,806 S MANGONIA CIR,,WEST PALM BEACH,33401,FL,Palm Beach,806 S MANGONIA CIR,,WEST PALM BEACH,FL,33401,Palm Beach,KARING HEARTS LLC,3/1/2022 12:00:00 AM,For-Profit,,JEANNINE MCQUEEN
KATIA'S LOVING HOME 2 INC,Assisted Living Facility,11968769,(305) 640-5050,6,366054,12622,LICENSED,,5/3/2025 12:00:00 AM,5/2/2027 12:00:00 AM,2820 SW 108TH PL,,MIAMI,33165-2462,FL,Miami-Dade,2820 SW 108TH PL,,MIAMI,FL,33165-2462,Miami-Dade,KATIA'S LOVING HOME 2 INC.,11/20/2014 12:00:00 AM,For-Profit,Katia's Loving Home 2 Inc.,DARISMEL HERRERA
KATIA'S LOVING HOME INC,Assisted Living Facility,11966201,(305) 598-6632,6,165753,10462,LICENSED,,5/4/2024 12:00:00 AM,5/3/2026 12:00:00 AM,5130 SW 96TH AVE,,MIAMI,33165-6449,FL,Miami-Dade,5130 SW 96TH AVE,,MIAMI,FL,33165-6449,Miami-Dade,KATIA'S LOVING HOME INC.,1/22/2004 12:00:00 AM,For-Profit,,KATHY RODRIGUEZ
KAY & JAY 09 LLC,Assisted Living Facility,11966226,(941) 565-9193,8,171576,10480,LICENSED,,6/1/2024 12:00:00 AM,5/31/2026 12:00:00 AM,1411 EAST WATERS AVENUE,,TAMPA,33604,FL,Hillsborough,1411 EAST WATERS AVENUE,,TAMPA,FL,33604,Hillsborough,KAY&JAY 09 LLC,6/1/2022 12:00:00 AM,For-Profit,,JONALDINE ELISCARD JEANBRINVIL
KAYSCARE LLC,Assisted Living Facility,11969918,(954) 778-3454,6,488401,13675,LICENSED,,7/18/2025 12:00:00 AM,7/17/2027 12:00:00 AM,14217 ASTER AVE,,WELLINGTON,33414,FL,Palm Beach,2851 RIVERSIDE DR APT 203,,CORAL SPRINGS,FL,33065,Broward,KAYSCARE LLC,7/18/2025 12:00:00 AM,For-Profit,,MELANIE JOHN
KELLEY ALF,Assisted Living Facility,11966704,(305) 385-7690,6,212697,10880,IN REVIEW,,11/21/2022 12:00:00 AM,11/20/2024 12:00:00 AM,10410 SW 127TH AVE,,MIAMI,33186-3516,FL,Miami-Dade,10410 SW 127TH AVE,,MIAMI,FL,33186-3516,Miami-Dade,KELLEY ALF CORP,5/26/2006 12:00:00 AM,For-Profit,,MARTA CASTELL
KELLY'S ASSISTED LIVING FACILITY,Assisted Living Facility,11911212,(954) 524-2867,33,1403,5485,LICENSED,,9/24/2024 12:00:00 AM,9/23/2026 12:00:00 AM,1451 NW 20TH STREET,,FORT LAUDERDALE,33311,FL,Broward,1451 NW 20TH STREET,,FORT LAUDERDALE,FL,33311,Broward,"H&W WILLIAMS, INC.",6/25/2002 12:00:00 AM,For-Profit,,HANNAH WILLIAMS
KENDALL ALF II LLC,Assisted Living Facility,11967992,(786) 953-8750,6,313038,11974,IN REVIEW,,6/15/2023 12:00:00 AM,6/14/2025 12:00:00 AM,10230 SW 91ST ST,,MIAMI,33176-1706,FL,Miami-Dade,10230 SW 91ST ST,,MIAMI,FL,33176-1706,Miami-Dade,"KENDALL ALF II, LLC.",11/29/2010 12:00:00 AM,For-Profit,,ENID LORENZO
KENDALL HAVEN ALF LLC,Assisted Living Facility,11969646,(305) 546-3036,10,443064,13409,LICENSED,,4/30/2024 12:00:00 AM,4/29/2026 12:00:00 AM,13258 SW 62 TERR,,MIAMI,33183,FL,Miami-Dade,13258 SW 62 TERR,,MIAMI,FL,33183,Miami-Dade,KENDALL HAVEN ALF LLC,11/26/2019 12:00:00 AM,For-Profit,,DEMYS DAEL GONZALEZ
"KENDALL WESTCHESTER HAVEN ALF, LLC",Assisted Living Facility,11970878,(305) 546-3036,6,576402,14056,LICENSED,,12/10/2025 12:00:00 AM,12/9/2027 12:00:00 AM,2823 SW 149 AVE,,MIAMI,33185,FL,Miami-Dade,2823 SW 149 AVE,,MIAMI,FL,33185,Miami-Dade,"KENDALL WESTCHESTER HAVEN ALF, LLC",9/15/2025 12:00:00 AM,For-Profit,,DAHIMARY TEJEDA PARDO
"KEVAL EXQUISITE CARE, LLC",Assisted Living Facility,11966285,(954) 575-2407,6,179743,10499,LICENSED,,10/11/2024 12:00:00 AM,10/11/2026 12:00:00 AM,2631 NW 107TH AVENUE,,CORAL SPRINGS,33065,FL,Broward,2631 NW 107TH AVENUE,,CORAL SPRINGS,FL,33065,Broward,"KEVAL EXQUISITE CARE, LLC",6/1/2004 12:00:00 AM,For-Profit,,VALLI REYNOLDS
"KEVAL EXQUISITE CARE, LLC",Assisted Living Facility,11966929,(954) 725-9571,6,233019,11067,IN REVIEW,,10/18/2023 12:00:00 AM,10/17/2025 12:00:00 AM,323 NW 45TH AVE,,DEERFIELD BEACH,33442-9399,FL,Broward,323 NW 45TH AVE,,DEERFIELD BEACH,FL,33442-9399,Broward,"KEVAL EXQUISITE CARE, LLC",4/6/2007 12:00:00 AM,For-Profit,"Keval Exquisite Care, LLC.",VALLI REYNOLDS
KEVIN FAMILY HOME LLC,Assisted Living Facility,11965470,(786) 580-3136,6,4364,9874,IN REVIEW,,9/1/2023 12:00:00 AM,8/31/2025 12:00:00 AM,7020 SW 107TH AVE,,MIAMI,33173-2014,FL,Miami-Dade,7020 SW 107TH AVE,,MIAMI,FL,33173-2014,Miami-Dade,KEVIN FAMILY HOME LLC,7/1/2021 12:00:00 AM,For-Profit,,MILEYDIS ESPINO
KEY TRAINING CENTER,Assisted Living Facility,11911199,(352) 795-5541,5,1398,5671,LICENSED,,1/5/2026 12:00:00 AM,1/4/2028 12:00:00 AM,1368 N JAMES PAGE POINT,,LECANTO,34461,FL,Citrus,5399 WEST GULF TO LAKE HIGHWAY,,LECANTO,FL,34461,Citrus,CITRUS COUNTY ASSOCIATION FOR RETARDED CITIZENS INC.,3/10/1986 12:00:00 AM,Not-For-Profit,www.keytrainingcenter.org,JENNIFER EMERY
KEY TRAINING CENTER,Assisted Living Facility,11911734,(352) 746-9270,9,1609,7733,LICENSED,,1/4/2025 12:00:00 AM,1/3/2027 12:00:00 AM,5411 WEST SAFARI LANE,,LECANTO,34461,FL,Citrus,5399 W GULF TO LAKE HIGHWAY,,LECANTO,FL,34461,Citrus,CITRUS COUNTY ASSOCIATION FOR RETARDED CITIZENS INC.,7/11/1991 12:00:00 AM,Not-For-Profit,Keytrainingcenter.org,BRYAN ADAM KANTORCZYK
KEY TRAINING CENTER,Assisted Living Facility,11911735,(352) 795-5541,10,1610,7732,LICENSED,,1/5/2026 12:00:00 AM,1/4/2028 12:00:00 AM,5391 W SAFARI LN,,LECANTO,34461-9761,FL,Citrus,5399 W GULF TO LAKE HWY,,LECANTO,FL,34461-8531,Citrus,CITRUS COUNTY ASSOCIATION FOR RETARDED CITIZENS INC.,7/11/1991 12:00:00 AM,Not-For-Profit,www.keytrainingcenter.org,BRYAN ADAM KANTORCZYK
KEY TRAINING CENTER,Assisted Living Facility,11911736,(352) 795-6808,10,1611,7731,LICENSED,,11/22/2025 12:00:00 AM,11/21/2027 12:00:00 AM,1380 N JAMES PAGE PT,,LECANTO,34461-8998,FL,Citrus,5399 W GULF TO LAKE HWY,,LECANTO,FL,34461-8531,Citrus,CITRUS COUNTY ASSOCIATION FOR RETARDED CITIZENS INC.,7/11/1991 12:00:00 AM,Not-For-Profit,keytrainingcenter.org,JENNIFER EMERY
KEYSTONE PLACE AT BEACHWALK,Assisted Living Facility,11969275,(239) 349-3769,135,403925,13074,LICENSED,,12/27/2025 12:00:00 AM,3/26/2027 12:00:00 AM,15800 BEACHWALK BLVD,,FORT MYERS,33908,FL,Lee,15800 BEACHWALK BLVD,,FORT MYERS,FL,33908,Lee,"KEYSTONE PLACE AT BEACHWALK, LLC",3/27/2025 12:00:00 AM,For-Profit,www.rui.net/seaside,JENNIFER GLASS
KEYSTONE PLACE AT TERRA BELLA,Assisted Living Facility,11969410,(813) 388-2121,88,416515,13228,LICENSED,,5/25/2024 12:00:00 AM,5/24/2026 12:00:00 AM,2200 LIVINGSTON ROAD,,LAND O LAKES,34639,FL,Pasco,3965 AIRPORT DRIVE,,INDIANAPOLIS,IN,46254,,"TERRA BELLA ONE, LLC",11/16/2016 12:00:00 AM,For-Profit,,LUIS VAZQUEZ
KIMBERLY KARES HELPING HANDS,Assisted Living Facility,11969815,(786) 288-1595,7,464125,13555,LICENSED,,2/5/2025 12:00:00 AM,2/4/2027 12:00:00 AM,3032 RIDGEWAY AVE,,WEST PALM BEACH,33405,FL,Palm Beach,3032 RIDGEWAY AVE,,WEST PALM BEACH,FL,33405,Palm Beach,HAIR'UM IN MOTION INC,12/18/2020 12:00:00 AM,For-Profit,,KIMBERLY BLACK
KIMBERLY PLACE,Assisted Living Facility,11911336,(941) 625-0030,16,1478,7594,LICENSED,,7/19/2025 12:00:00 AM,7/18/2027 12:00:00 AM,26315 NORTHERN CROSS ROAD,,PUNTA GORDA,33983,FL,Charlotte,26315 NORTHERN CROSS ROAD,,PUNTA GORDA,FL,33983,Charlotte,"Y & H GROUP, INC.",2/18/2015 12:00:00 AM,For-Profit,,YAMIRIS HERNANDEZ
KINBRIDGE AT OVIEDO LLC,Assisted Living Facility,11969027,(407) 815-7034,20,385727,12855,LICENSED,,5/9/2025 12:00:00 AM,5/8/2027 12:00:00 AM,450 OVIEDO BLVD,,OVIEDO,32765,FL,Seminole,450 OVIEDO BOULEVARD,,OVIEDO,FL,32765,Seminole,Kinbridge at Oviedo LLC,5/9/2025 12:00:00 AM,For-Profit,www.kinbridgeliving.com,KRISTA MAY DORTON
KING'S CROWN-SHELL POINT VILLAGE,Assisted Living Facility,11911219,(239) 454-2175,130,1407,6012,LICENSED,,8/6/2025 12:00:00 AM,8/5/2027 12:00:00 AM,3699 KINGS CROWN COURT,,FORT MYERS,33908,FL,Lee,3699 KINGS CROWN COURT,,FORT MYERS,FL,33908,Lee,"THE CHRISTIAN AND MISSIONARY ALLIANCE FOUNDATION, INC.",5/10/1991 12:00:00 AM,Not-For-Profit,www.shellpoint.org,LELA MALDONADO
KINGS HOUSE II,Assisted Living Facility,11968215,(904) 894-6828,5,328170,12135,IN LITIGATION,,2/19/2024 12:00:00 AM,2/2/2024 12:00:00 AM,8356 JUSTIN RD SOUTH,,JACKSONVILLE,32210,FL,Duval,5108 ABEL LANE,,JACKSONVILLE,FL,32210,Duval,POWER HOUSE MIRACLE CENTER MINISTRY INC. ,1/30/2014 12:00:00 AM,Not-For-Profit,,MELISSA ANNETTE WADE
"KIVA AT CANTERBURY, LLC",Assisted Living Facility,11910496,(239) 250-5117,38,1005,7622,PROVISIONAL,,2/17/2026 12:00:00 AM,8/16/2026 12:00:00 AM,10 7TH ST,,BONITA SPRINGS,34134,FL,Collier,10 7TH ST,,BONITA SPRINGS,FL,34134,Collier,Shekhinah Holdings,2/17/2026 12:00:00 AM,For-Profit,https://kivaassisted.com/,TOLULOPE MATHIAS OLASUNKANMI
KIVA OF MOUNT DORA,Assisted Living Facility,11922275,(352) 383-5005,32,1825,7959,LICENSED,,11/27/2025 12:00:00 AM,11/26/2027 12:00:00 AM,505 E 9TH AVE,,MOUNT DORA,32757-4937,FL,Lake,505 E 9TH AVE,,MOUNT DORA,FL,32757-4937,Lake,"CTK PROPERTIES, LLC",8/29/2005 12:00:00 AM,For-Profit,kivaofmtdora.com,JUDITH YOUNG
KIVA OF PALATKA,Assisted Living Facility,11911095,(386) 325-0699,40,1330,827,LICENSED,,10/5/2024 12:00:00 AM,10/4/2026 12:00:00 AM,201 ZEAGLER DRIVE,,PALATKA,32177,FL,Putnam,201 ZEAGLER DRIVE,,PALATKA,FL,32177,Putnam,"PARAMOUNT ALF, INC",7/7/2016 12:00:00 AM,For-Profit,,ERIC HOFFMANN
"KOZIE KOTTAGE, LLC",Assisted Living Facility,11968785,(561) 247-7978,6,367058,12633,LICENSED,,6/3/2025 12:00:00 AM,6/2/2027 12:00:00 AM,12576 54TH ST N,,WEST PALM BEACH,33411,FL,Palm Beach,12576 54TH ST N,,WEST PALM BEACH,FL,33411,Palm Beach,"KOZIE KOTTAGE, LLC",12/18/2014 12:00:00 AM,For-Profit,koziekottagealf.com,WENDY ROSEMARIE REYES
KOZY KOVE ASSISTED LIVING FACILITY INC,Assisted Living Facility,11967550,(954) 316-6580,6,281629,11584,LICENSED,,8/20/2025 12:00:00 AM,8/19/2027 12:00:00 AM,490 NW 45TH TER,,PLANTATION,33317-2748,FL,Broward,490 NW 45TH TER,,PLANTATION,FL,33317-2748,Broward,KOZY KOVE ASSISTED LIVING FACILITY INC,2/27/2009 12:00:00 AM,For-Profit,www.mykozykove.com,HARPER JUNE RAMSEY
KSC ADULT CARE SERVICES,Assisted Living Facility,11970635,(321) 246-5357,10,561515,13991,LICENSED,,5/22/2025 12:00:00 AM,5/21/2027 12:00:00 AM,1401 DIXIE WAY,,SANFORD,32771,FL,Seminole,1401 DIXIE WAY,,SANFORD,FL,32771,Seminole,KSC Adult Care Services,12/30/2024 12:00:00 AM,For-Profit,,KETTIA CADET CHERENFANT
KSJ HOME CARE INC,Assisted Living Facility,11965802,(305) 823-0989,6,4685,10135,LICENSED,,6/6/2024 12:00:00 AM,6/5/2026 12:00:00 AM,67 EAST 56 TH STREET,,HIALEAH,33013,FL,Miami-Dade,67 EAST 56 TH STREET,,HIALEAH,FL,33013,Miami-Dade,KSJ HOME CARE INC,3/1/2001 12:00:00 AM,For-Profit,,ONEIDA PEREZ
L & C CARE LLC,Assisted Living Facility,11970429,(561) 530-9572,6,546697,13900,LICENSED,,7/9/2024 12:00:00 AM,7/8/2026 12:00:00 AM,2048 SE HARDING ST,,PORT SAINT LUCIE,34952,FL,St. Lucie,2048 SE HARDING ST,,PORT SAINT LUCIE,FL,34952,St. Lucie,L & C CARE LLC,8/17/2023 12:00:00 AM,For-Profit,,LANY ROMULUS
L & D PARADISE LLC,Assisted Living Facility,11969986,(954) 336-3662,5,499671,13714,LICENSED,,5/16/2024 12:00:00 AM,5/15/2026 12:00:00 AM,5511 SW 6TH ST,,MARGATE,33068,FL,Broward,5511 SW 6TH ST,,MARGATE,FL,33068,Broward,L & D PARADISE LLC,2/17/2022 12:00:00 AM,For-Profit,,LASCELLES WALDO
L & G ASSISTED LIVING LLC,Assisted Living Facility,11969887,(305) 676-1866,6,483329,13640,IN REVIEW,,8/26/2023 12:00:00 AM,8/25/2025 12:00:00 AM,13341 SW 272ND LN,,HOMESTEAD,33032,FL,Miami-Dade,13341 SW 272ND LN,,HOMESTEAD,FL,33032,Miami-Dade,L & G ASSISTED LIVING LLC,6/23/2021 12:00:00 AM,For-Profit,WWW.LECMSERVICES.COM,LUIS ENRIQUE CABALLERO
"L & L SENIOR CARE, INC",Assisted Living Facility,11967140,(786) 523-8711,6,250469,11229,IN REVIEW,,8/9/2023 12:00:00 AM,8/8/2025 12:00:00 AM,1136 PARTRIDGE AVE,,MIAMI SPRINGS,33166-3830,FL,Miami-Dade,1136 PARTRIDGE AVE,,MIAMI SPRINGS,FL,33166-3830,Miami-Dade,"L & L SENIOR CARE, INC",5/11/2017 12:00:00 AM,For-Profit,,LUZ MARIA HERNANDEZ
L&T ALF LLC,Assisted Living Facility,11922235,(786) 357-0099,6,1802,7958,LICENSED,,12/1/2024 12:00:00 AM,11/30/2026 12:00:00 AM,9111 SW 28 TERRACE,,MIAMI,33165,FL,Miami-Dade,9111 SW 28 TERRACE,,MIAMI,FL,33165,Miami-Dade,L&T ALF LLC,12/1/2020 12:00:00 AM,For-Profit,,LEIDY RODRIGUEZ
L&Y PARADISE ALF CORP,Assisted Living Facility,11969714,(813) 310-6548,6,449296,13474,LICENSED,,5/27/2024 12:00:00 AM,5/26/2026 12:00:00 AM,14314 CAPITOL DR,,TAMPA,33613,FL,Hillsborough,14314 CAPITOL DR,,TAMPA,FL,33613,Hillsborough,L & Y PARADISE ALF CORP,3/24/2020 12:00:00 AM,For-Profit,,MILEYDIS SUAREZ GALVEZ
"L'ARCHE JACKSONVILLE, INC II",Assisted Living Facility,11910325,(904) 403-3148,6,921,5895,IN REVIEW,,12/28/2023 12:00:00 AM,12/27/2025 12:00:00 AM,700 ARLINGTON RD N,,JACKSONVILLE,32211-7306,FL,Duval,700 ARLINGTON RD N,,JACKSONVILLE,FL,32211-7306,Duval,"L'ARCHE JACKSONVILLE, INC",5/7/1996 12:00:00 AM,Not-For-Profit,www.larchejacksonville.org,PATRICIA A BAKER
"L'ARCHE JACKSONVILLE, INC. I",Assisted Living Facility,11910323,(904) 721-5992,5,919,5523,LICENSED,,10/12/2024 12:00:00 AM,10/11/2026 12:00:00 AM,700 ARLINGTON ROAD,,JACKSONVILLE,32211,FL,Duval,700 ARLINGTON ROAD,,JACKSONVILLE,FL,32211,Duval,"L'ARCHE JACKSONVILLE, INC",4/7/1977 12:00:00 AM,Not-For-Profit,larchejacksonville.org,PATRICIA A BAKER
"L'ARCHE JACKSONVILLE, INC. III",Assisted Living Facility,11910326,(904) 403-5713,7,922,7393,LICENSED,,11/20/2025 12:00:00 AM,11/19/2027 12:00:00 AM,700 ARLINGTON RD N,,JACKSONVILLE,32211-7306,FL,Duval,700 ARLINGTON RD N,,JACKSONVILLE,FL,32211-7306,Duval,"L'ARCHE JACKSONVILLE, INC",4/7/1977 12:00:00 AM,Not-For-Profit,www.larchejacksonville.org,PATRICIA A BAKER
LA CASA ASSISTED LIVING COMMUNITY,Assisted Living Facility,11967559,(321) 449-8880,36,282284,11568,LICENSED,,10/20/2025 12:00:00 AM,3/19/2027 12:00:00 AM,220 N GROVE STREET,,MERRITT ISLAND,32953,FL,Brevard,220 N GROVE STREET,,MERRITT ISLAND,FL,32953,Brevard,"LA CASA OPERATIONS, LLC",3/20/2023 12:00:00 AM,For-Profit,lacasaassistedliving.com,NATALIE YEAZEL
LA CASITA DE OLGA Y MARIA LLC,Assisted Living Facility,11970620,786-238-7208,6,560807,13986,LICENSED,,5/15/2025 12:00:00 AM,5/14/2027 12:00:00 AM,15561 SW 8 LN,,MIAMI,33194,FL,Miami-Dade,15561 SW 8 LN,,MIAMI,FL,33194,Miami-Dade,La Casita De Olga Y Maria LLC,1/2/2025 12:00:00 AM,For-Profit,,ARSENIO LEAL
LA CASITA NUESTRA HOME II,Assisted Living Facility,11966421,(786) 546-2787,6,191416,10616,LICENSED,,7/19/2025 12:00:00 AM,7/18/2027 12:00:00 AM,14909 SW 22 STREET,,MIAMI,33185,FL,Miami-Dade,14909 SW 22 STREET,,MIAMI,FL,33185,Miami-Dade,"LA CASITA NUESTRA HOME II, INC",2/28/2005 12:00:00 AM,For-Profit,,BRENDA SEVILLA
LA COLONIA 1 ALF INC,Assisted Living Facility,11967943,(239) 772-0029,6,309433,11909,LICENSED,,11/1/2024 12:00:00 AM,10/31/2026 12:00:00 AM,830 NE 10TH LANE,,CAPE CORAL,33909,FL,Lee,830 NE 10TH LANE,,CAPE CORAL,FL,33909,Lee,"LA COLONIA 1 ALF, INC.",9/20/2010 12:00:00 AM,For-Profit,,LAZARO FLORES
LA COLONIA II ALF INC,Assisted Living Facility,11968426,(239) 574-1502,10,341799,12331,LICENSED,,6/2/2025 12:00:00 AM,6/1/2027 12:00:00 AM,637 SE 12TH CT,,CAPE CORAL,33990-2922,FL,Lee,637 SE 12TH CT,,CAPE CORAL,FL,33990-2922,Lee,"LA COLONIA II ALF, INC.",10/29/2012 12:00:00 AM,For-Profit,,LAZARO FLORES
"LA COLONIA V ALF, INC.",Assisted Living Facility,11969308,(239) 471-0905,6,407622,13162,LICENSED,,9/10/2025 12:00:00 AM,9/9/2027 12:00:00 AM,401 SW 44TH ST,,CAPE CORAL,33914,FL,Lee,401 SW 44TH ST,,CAPE CORAL,FL,33914,Lee,LA COLONIA V ALF INC.,8/15/2019 12:00:00 AM,For-Profit,,LAZARO FLORES
"LA ESTANCIA HOME CARE ALF, INC",Assisted Living Facility,11969191,(786) 483-7993,6,398252,13024,IN REVIEW,,9/13/2023 12:00:00 AM,9/12/2025 12:00:00 AM,15321 NW 33RD CT,,MIAMI GARDENS,33054,FL,Miami-Dade,15321 NW 33RD CT,,MIAMI GARDENS,FL,33054,Miami-Dade,"LA ESTANCIA HOME CARE ALF, INC",3/22/2017 12:00:00 AM,For-Profit,,JOSE FERNANDEZ
LA GLORIA DE DIOS LLC,Assisted Living Facility,11969930,(786) 362-5868,6,491320,13668,IN REVIEW,,12/6/2023 12:00:00 AM,12/5/2025 12:00:00 AM,3456 SW 113 PL,,MIAMI,33165,FL,Miami-Dade,3456 SW 113 PL,,MIAMI,FL,33165,Miami-Dade,LA GLORIA DE DIOS LLC,10/18/2021 12:00:00 AM,For-Profit,,LAZARA Y MONTANO
LA MILAGROSA HOME CARE INC,Assisted Living Facility,11942793,(305) 447-1559,14,2131,7534,LICENSED,,5/2/2024 12:00:00 AM,5/1/2026 12:00:00 AM,3341 SW 7TH ST,,MIAMI,33135-2603,FL,Miami-Dade,3341 SW 7TH ST,,MIAMI,FL,33135-2603,Miami-Dade,"LA MILAGROSA HOME CARE, INC.",6/1/1993 12:00:00 AM,For-Profit,,VICTOR MUNIZ
LA PAZ HOME CARE CORP,Assisted Living Facility,11967253,(305) 229-7260,6,258819,11300,LICENSED,,4/18/2024 12:00:00 AM,4/17/2026 12:00:00 AM,12968 NW 9TH TER,,MIAMI,33182-2385,FL,Miami-Dade,12968 NW 9TH TER,,MIAMI,FL,33182-2385,Miami-Dade,LA PAZ HOME CARE CORP,3/3/2008 12:00:00 AM,For-Profit,,ALIDO GALLARDO
LA PERLA DEL SUR ALF CORP,Assisted Living Facility,11966047,(305) 382-8753,6,149569,10308,LICENSED,,1/2/2025 12:00:00 AM,1/1/2027 12:00:00 AM,10710 SW 148 COURT,,MIAMI,33196,FL,Miami-Dade,10710 SW 148 COURT,,MIAMI,FL,33196,Miami-Dade,LA PERLA DEL SUR ALF CORP,1/2/2025 12:00:00 AM,For-Profit,,SANDRA ESPINOSA-OSABA
LA ROSA ALF CORP,Assisted Living Facility,11969690,(813) 402-2596,6,447198,13473,LICENSED,,5/26/2024 12:00:00 AM,5/25/2026 12:00:00 AM,1615 CARNEGIE CIR,,TAMPA,33619,FL,Hillsborough,1615 CAMEGIE CIR,,TAMPA,FL,33619,Hillsborough,LAROSA ALF CORP,2/14/2020 12:00:00 AM,For-Profit,,LEITSY LA ROSA
