"File Number","Facility","Type","Street Address","City","Zip","Phone Number","Licensed Beds"
"11965117","JMB LOVING CARE, LLC","Assisted Living Facility","1629 GULF RD","TARPON SPRINGS","34689","(727) 626-4474","10"
"11965118","FOR YOU I WILL, LLC","Assisted Living Facility","1309 ALCORN RD","PORT ORANGE","32129","(386) 760-3685","6"
"11965121","COLLIERS AT NAPLES","Assisted Living Facility","770 GOODLETTE ROAD, NORTH","NAPLES","34102","(239) 430-3535","112"
"11965123","THE COUNTRY COTTAGE LLC","Assisted Living Facility","1851 WEST TEN MILE ROAD","CANTONMENT","32533","(850) 476-1246","14"
"11965129","BERRYHILL MANOR RETIREMENT CENTER","Assisted Living Facility","5544 SWANNER RD.","MILTON","32570","(850) 623-6550","65"
"11965130","THE SPRINGS LADY LAKE ASSISTED LIVING FACILITY AND REHAB","Assisted Living Facility","620 GRIFFIN AVE","LADY LAKE","32159-8103","(352) 259-0016","80"
"11965135","SODALIS MILTON","Assisted Living Facility","5887 BERRYHILL RD","MILTON","32570","(850) 626-9901","44"
"11965138","BROOKDALE DR PHILLIPS AL","Assisted Living Facility","8001 PIN OAK DRIVE","ORLANDO","32819","(407) 903-1808","80"
"11965146","N DREAM ALF LLC","Assisted Living Facility","7200 SW 131 AVE","MIAMI","33183-3460","(305) 385-8380","6"
"11965147","FREEDOM PLAZA ASSISTED LIVING AND MEMORY CARE","Assisted Living Facility","3910 GALEN CT","SUN CITY CENTER","33573-6817","(813) 633-4330","88"
"11965157","HARBORCHASE OF CORAL SPRINGS","Assisted Living Facility","2975 NW 99TH AVENUE","CORAL SPRINGS","33065","(954) 255-5557","120"
"11965158","COMPASS ROSE OF BRANDON","Assisted Living Facility","320 S LAKEWOOD DRIVE","BRANDON","33511","(813) 655-8858","86"
"11965159","SODALIS CANTONMENT","Assisted Living Facility","150 CROSSVILLE STREET","CANTONMENT","32533","(850) 477-1312","44"
"11965162","THE CAMELLIA AT GULF BREEZE","Assisted Living Facility","101 MCABEE COURT","GULF BREEZE","32561","(850) 934-1061","110"
"11965167","ABOVE THE REST ASSISTED LIVING FACILITY","Assisted Living Facility","2360 MADRID AVENUE SE","PALM BAY","32909","(321) 956-8141","10"
"11965168","ISA ADULT HOME CARE INC","Assisted Living Facility","4363 SW 146TH AVE","MIAMI","33175-6862","(305) 392-0354","6"
"11965169","WICKSHIRE PORT ST LUCIE","Assisted Living Facility","9825 S US HIGHWAY 1","PORT ST LUCIE","34952-5626","(772) 337-0084","120"
"11965173","XIOMARA HOME, INC.","Assisted Living Facility","4321 SW 1 STREET","MIAMI","33134","(305) 461-3894","6"
"11965179","SAFE HARBOR ASSISTED LIVING RESORT","Assisted Living Facility","1320 SW 26TH STREET","FORT LAUDERDALE","33315","(954) 681-0590","35"
"11965180","MAGGY'S HOME CARE","Assisted Living Facility","8969 NW 152 LANE","HIALEAH","33018","(786) 306-1725","6"
"11965181","CYPRESS CREEK ASSISTED LIVING RESIDENCE MANAGEMENT, LLC","Assisted Living Facility","970 CYPRESS VILLAGE BLVD","RUSKIN","33573","(813) 633-7777","140"
"11965183","REGAL PALMS","Assisted Living Facility","300 LAKE AVE NE","LARGO","33771","(727) 437-1350","225"
"11965185","SODALIS PENSACOLA","Assisted Living Facility","2310 ABBIE LANE","PENSACOLA","32514","(850) 505-0111","72"
"11965204","RAFFA CORP","Assisted Living Facility","13961 SW 75 STREET","MIAMI","33183","(786) 558-5497","6"
"11965218","LAKEVIEW RETIREMENT RESIDENCE, INC.","Assisted Living Facility","2304 NW 52ND COURT","TAMARAC","33309","(954) 714-0064","24"
"11965223","VISTA LAKE MEMORY CARE","Assisted Living Facility","710 S LAKE ST.","LEESBURG","34748-7327","(352) 728-6666","40"
"11965225","GOLDEN POND COMMUNITIES","Assisted Living Facility","402 LAKEVIEW ROAD","WINTER GARDEN","34787","(407) 654-7217","108"
"11965229","BRIDGE AT LIFE CARE CENTER OF OCALA (THE)","Assisted Living Facility","2800 SW 41ST ST","OCALA","34474-4454","(352) 873-2036","95"
"11965230","CYPRESS COVE AT HEALTHPARK FL","Assisted Living Facility","10300 CYPRESS COVE DRIVE","FORT MYERS","33908","(239) 425-1625","99"
"11965233","CASTLE COURT ALF INC","Assisted Living Facility","9709 NORTH NEBRASKA AVENUE","TAMPA","33612","(813) 933-6333","73"
"11965241","SODALIS DEFUNIAK SPRINGS","Assisted Living Facility","718 WALTON RD","DEFUNIAK SPRINGS","32433","(850) 951-1880","44"
"11965243","FRIENDS AT HOME ASSISTED LIVING, INC","Assisted Living Facility","3680 CANAVERAL GROVES BLVD.","COCOA","32926","(321) 631-4005","15"
"11965244","THE SUSAN REWIS HOUSE","Assisted Living Facility","7216 NW 22ND DRIVE","JENNINGS","32053","(386) 938-2097","16"
"11965247","LIZI HOME CARE ALF","Assisted Living Facility","2820 SW 131 PLACE","MIAMI","33175","(305) 220-7685","6"
"11965248","HOME FOR ALL THE ANGELS, CORP","Assisted Living Facility","9270 S.W. 42 TERRACE","MIAMI","33165","(305) 207-4481","6"
"11965252","BEST CARE SENIOR LIVING AT OCALA, LLC","Assisted Living Facility","2300 SW 21ST CIR","OCALA","34471-7736","(813) 733-0909","75"
"11965254","CELEBRATION VILLA OF WINTER HAVEN MC","Assisted Living Facility","6120 CYPRESS GARDENS BLVD","WINTER HAVEN","33884-3180","(863) 318-8416","40"
"11965255","CYPRESS MANOR ASSISTED LIVING FACILITY, LLC","Assisted Living Facility","7459 ROYAL PALM BLVD","MARGATE","33063-1208","(954) 825-8977","6"
"11965261","NEW HOME SENIOR CARE, INC","Assisted Living Facility","73 E 47TH ST","HIALEAH","33013-1839","(786) 558-4021","6"
"11965265","COTTAGES AT BELLEAIR","Assisted Living Facility","620 BELLEAIR ROAD","CLEARWATER","33756","(727) 467-9675","98"
"11965267","YAMILE'S HOME INC","Assisted Living Facility","6135 WEST 8 AVE","HIALEAH","33012","(305) 558-8769","6"
"11965270","MAGNOLIA MANOR OF PALM COAST, INC.","Assisted Living Facility","35 BURNING SANDS LANE","PALM COAST","32137","(386) 447-8562","6"
"11965273","HARBOR INN OF VENICE SOUTH","Assisted Living Facility","160 RUTLAND ROAD","VENICE","34293","(941) 496-4096","6"
"11965277","ANA'S FAMILY HOME ALF, INC.","Assisted Living Facility","11750 SW 192ND ST","MIAMI","33177-3921","(786) 592-2888","6"
"11965283","BROOKDALE VERO BEACH SOUTH","Assisted Living Facility","420 4TH CT","VERO BEACH","32962-1812","(772) 794-1778","40"
"11965291","SODALIS TALLAHASSEE ASSISTED LIVING","Assisted Living Facility","2110 FLEISCHMANN ROAD","TALLAHASSEE","32308","(850) 533-9120","120"
"11965292","ARDEN COURTS (TAMPA)","Assisted Living Facility","14950 CASEY RD","TAMPA","33624","(813) 963-6100","60"
"11965293","NUNEZ ADULT CARE II LLC","Assisted Living Facility","2591 SW 124 AVENUE","MIAMI","33175","(305) 200-5456","6"
"11965297","SUNCOAST EAST","Assisted Living Facility","2290 CATTLEMEN RD","SARASOTA","34232","(941) 738-5757","112"
"11965300","GOLDEN SUNSET ALF, INC.","Assisted Living Facility","5019 MAGPIE DR","NEW PORT RICHEY","34652-4310","(727) 846-1954","8"
"11965303","WOODLAWN OAKS ASSISTED LIVING LLC","Assisted Living Facility","820 15TH ST N","SAINT PETERSBURG","33705-1235","(727) 418-0015","22"
"11965311","ROSEWOOD MANOR OF VERO BEACH, LLC","Assisted Living Facility","3710 14TH ST","VERO BEACH","32960-2708","(772) 564-0063","75"
"11965313","THE CARLISLE ASSISTED LIVING AND MEMORY CARE","Assisted Living Facility","450 E OCEAN AVE","LANTANA","33462","(561) 533-9440","175"
"11965317","BAYOU GARDENS DUNEDIN, LLC","Assisted Living Facility","1585 CURLEW RD","DUNEDIN","34698","(727) 216-6144","50"
"11965330","ARCADIA OAKS","Assisted Living Facility","1013 EAST GIBSON STREET","ARCADIA","34266","(863) 202-8898","84"
"11965334","ARDEN COURTS (WINTER SPRINGS)","Assisted Living Facility","1057 WILLA SPRINGS DRIVE","WINTER SPRINGS","32708","(407) 696-8400","60"
"11965335","PALMER RANCH RESIDENCE","Assisted Living Facility","5111 PALMER RANCH PARKWAY","SARASOTA","34238","(941) 926-1966","118"
"11965336","FELLOWSHIP COVE MARSH LANDING","Assisted Living Facility","1700 THE GREENS WAY","JACKSONVILLE BEACH","32250-2494","(904) 872-6212","110"
"11965339","COURTYARD GARDENS OF JUPITER","Assisted Living Facility","1790 INDIAN CREEK DR W","JUPITER","33458-7302","(561) 743-5966","129"
"11965346","THE GABLES OF JACKSONVILLE","Assisted Living Facility","3455 SAN PABLO ROAD SOUTH","JACKSONVILLE","32224","(904) 821-8030","100"
"11965351","CHAPMAN MANOR AT LUTZ, LLC","Assisted Living Facility","414 E CHAPMAN RD","LUTZ","33549-5779","(813) 909-9679","104"
"11965356","THE GABLES OF TALLAHASSEE","Assisted Living Facility","100 JOHN KNOX ROAD","TALLAHASSEE","32303","(850) 531-0579","98"
"11965357","DISCOVERY VILLAGE AT BOYNTON BEACH","Assisted Living Facility","4733 NW 7TH CT","BOYNTON BEACH","33426-9373","(561) 586-2989","93"
"11965359","YESENIA ALF INC","Assisted Living Facility","15608 SW 63 TERRACE","MIAMI","33193","(305) 408-1698","6"
"11965361","EAST LAKE MANOR, INC.","Assisted Living Facility","722 E LAKE RD S","TARPON SPRINGS","34688-7347","(727) 934-4791","30"
"11965363","BEST CARE SENIOR LIVING AT BRANDON LLC","Assisted Living Facility","1819 PROVIDENCE RIDGE BLVD","BRANDON","33511-1899","(813) 733-0909","70"
"11965367","ABUELAS RETIREMENT HOME INC","Assisted Living Facility","4257 SW 154TH CT","MIAMI","33185-4259","(305) 227-6682","6"
"11965368","MADISON AT OCOEE","Assisted Living Facility","80 NORTH CLARK RD","OCOEE","34761","(689) 400-7263","105"
"11965370","BROOKDALE ALTAMONTE SPRINGS","Assisted Living Facility","360 MONTGOMERY ROAD","ALTAMONTE SPRINGS","32714","(407) 786-5637","115"
"11965374","THE ELITE ALF AT NAPLES LLC","Assisted Living Facility","1155 ENCORE WAY","NAPLES","34110","(239) 598-1368","70"
"11965376","FAMILY EXTENDED CARE OF SEBRING INC","Assisted Living Facility","5005 SUN N LAKE BLVD","SEBRING","33872-2175","(863) 386-1060","85"
"11965378","FAMILY EXTENDED CARE OF SPRING HILL NW INC","Assisted Living Facility","11291 COUNTY LINE RD","SPRING HILL","34609-5616","(352) 799-1422","58"
"11965383","SAVANNAH COTTAGE OF LAKELAND","Assisted Living Facility","605 CARPENTERS WAY","LAKELAND","33809","(954) 691-1030","38"
"11965384","EXCLUSIVE HOME","Assisted Living Facility","183 W 18TH ST","HIALEAH","33010-2636","(305) 882-0114","6"
"11965386","SONATA BOYNTON BEACH","Assisted Living Facility","2400 SOUTH CONGRESS AVENUE","BOYNTON BEACH","33426","(561) 733-8444","111"
"11965390","BROOKDALE WEST MELBOURNE","Assisted Living Facility","7199 GREENBORO DR","WEST MELBOURNE","32904-1432","(321) 951-4455","42"
"11965392","SOME PLACE LIKE HOME, INC. #2","Assisted Living Facility","2307 SMULLIAN TRAIL N","JACKSONVILLE","32217","(904) 448-0914","6"
"11965400","WICKSHIRE COUNTRYSIDE","Assisted Living Facility","3141 N MCMULLEN BOOTH RD","CLEARWATER","33761","(727) 902-3986","119"
"11965402","COLLIERS AT PORT ORANGE OPCO, LLC","Assisted Living Facility","1675 DUNLAWTON AVENUE","PORT ORANGE","32127-4755","(772) 222-6202","102"
"11965405","BROOKDALE SANTA BARBARA","Assisted Living Facility","911 SANTA BARBARA BLVD","CAPE CORAL","33991","(239) 573-5108","40"
"11965409","CARY CRIST HOME CARE ALF, INC","Assisted Living Facility","1706 SW 136 PLACE","MIAMI","33175","(786) 963-0042","6"
"11965411","LIFETIDES HOME, INC.","Assisted Living Facility","3133 LAS OLAS DR","DUNEDIN","34698-2914","(727) 804-4500","5"
"11965413","SONATA COCONUT CREEK","Assisted Living Facility","4175 WEST SAMPLE ROAD","COCONUT CREEK","33073","(954) 975-6399","104"
"11965416","NEW PARADISE INC","Assisted Living Facility","2001 SW 80TH CT","MIAMI","33155-1255","(786) 388-8747","6"
"11965421","ALLEGRO","Assisted Living Facility","4501 SHANNON LAKES DRIVE WEST","TALLAHASSEE","32309","(850) 668-4004","90"
"11965422","LEIDY ALF LLC","Assisted Living Facility","9341 SW 32ND ST","MIAMI","33165-4102","(305) 315-2202","6"
"11965424","BROOKDALE LAKE ORIENTA","Assisted Living Facility","217 BOSTON AVENUE","ALTAMONTE SPRINGS","32701","(407) 260-2345","170"
"11965431","ALF FAMILY PALACE CORP.","Assisted Living Facility","7521 W 30TH LN","HIALEAH","33018-5245","(786) 953-4512","6"
"11965432","RAINBOW GARDENS A.L.F.","Assisted Living Facility","1801 NE 182 ST","N MIAMI BEACH","33162-1524","(305) 525-5466","6"
"11965436","SILVER LIFE LLC","Assisted Living Facility","2830 SW 106 AVENUE","MIAMI","33165","(305) 467-6069","6"
"11965438","J R FAMILY CARE INC","Assisted Living Facility","1110 NW 134TH AVENUE","MIAMI","33182","(786) 360-5803","6"
"11965440","LAGO PLACE INC","Assisted Living Facility","10711 SW 52ND TER","MIAMI","33165-7037","(305) 413-4376","6"
"11965443","THE LYNMOORE AT LAWNWOOD ASSISTED LIVING AND MEMORY CARE","Assisted Living Facility","1550 N LAWNWOOD CIR","FORT PIERCE","34950-4972","(772) 489-6800","140"
"11965444","THE GABLES OF GAINESVILLE","Assisted Living Facility","1415 FORT CLARKE BLVD","GAINESVILLE","32606","(352) 332-4505","79"
"11965458","GOLDEN COVE ALF","Assisted Living Facility","918 EGAN DRIVE","ORLANDO","32822","(407) 281-1886","6"
"11965462","HARBORCHASE OF TAMARAC","Assisted Living Facility","6855 NW 70TH AVENUE","TAMARAC","33321","(954) 722-0212","116"
"11965470","KEVIN FAMILY HOME LLC","Assisted Living Facility","7020 SW 107TH AVE","MIAMI","33173-2014","(786) 580-3136","6"
"11965472","BELVEDERE COMMONS OF FORT WALTON BEACH","Assisted Living Facility","2000 PRINCIPAL LANE","FORT WALTON BEACH","32547","(850) 243-7735","87"
"11965474","BROOKDALE WEKIWA SPRINGS","Assisted Living Facility","203 S WEKIWA SPRINGS ROAD","APOPKA","32703","(407) 889-7704","97"
"11965477","WAYMAN PLACE SENIOR LIVING","Assisted Living Facility","342 SOUTH WAYMAN DR","LONGWOOD","32750","(407) 265-9200","88"
"11965480","SPRING HILLS HUNTERS CREEK","Assisted Living Facility","3800 TOWN CENTER BLVD","ORLANDO","32837","(407) 251-8088","108"
"11965482","THE RESIDENCE AT TIMBER PINES","Assisted Living Facility","3140 FOREST RD","SPRING HILL","34606","(352) 683-9009","255"
"11965486","OAKRIDGE ASSISTED LIVING FACILITY","Assisted Living Facility","297 SW COUNTY ROAD 300","MAYO","32066-4402","(386) 294-5050","52"
"11965488","DELMAR ALF LLC","Assisted Living Facility","4229 SW 157TH CT","MIAMI","33185-3800","(786) 307-6964","6"
"11965493","VIDA HOME, LLC","Assisted Living Facility","415 EAST 39 STREET","HIALEAH","33013","(305) 691-5911","6"
"11965494","CORAL PARK SENIOR CARE OF MIAMI","Assisted Living Facility","9640 SW 10 TERRACE","MIAMI","33174","(305) 457-8995","6"
"11965496","WICKSHIRE TAMARAC","Assisted Living Facility","7640 & 7650 N UNIVERSITY DR","TAMARAC","33321-2967","(954) 722-6314","127"
"11965497","SPRING HILLS ASSISTED LIVING FACILITY","Assisted Living Facility","1934 22ND AVENUE","VERO BEACH","32966","(772) 794-1277","32"
"11965499","SOUTHERN LIVE-IN INC","Assisted Living Facility","619 PRINCETON STREET","BRANDON","33511","(813) 655-0822","10"
"11965500","HOME SWEET HOME CARE FACILITY CORP","Assisted Living Facility","5341 EAST 5 AVENUE","HIALEAH","33013","(305) 953-1649","6"
"11965501","MERCEDITAS HOME CARE, INC","Assisted Living Facility","2170 SW 20 STREET","MIAMI","33145","(305) 857-0314","14"
"11965502","TADEOS ALF CORP","Assisted Living Facility","1525 SW 119 COURT","MIAMI","33184","(305) 221-4905","6"
"11965516","SONATA DELRAY BEACH","Assisted Living Facility","8020 W ATLANTIC AVENUE","DELRAY BEACH","33446","(561) 498-0134","94"
"11965528","REYSE ALF CORP.","Assisted Living Facility","20-22 NW 40 COURT","MIAMI","33126","(305) 642-9903","14"
"11965531","BROOKDALE FORT WALTON BEACH","Assisted Living Facility","233 CARMEL DRIVE","FORT WALTON BEACH","32547","(850) 864-4600","56"
"11965538","HAWTHORNE INN OF LAKELAND","Assisted Living Facility","6150 LAKELAND HIGHLANDS RD","LAKELAND","33813-3850","(863) 644-6414","68"
"11965540","FRUITVILLE HOLDINGS OPPIDAN INC","Assisted Living Facility","4024 FRUITVILLE ROAD","SARASOTA","34232","(941) 371-9158","6"
"11965545","GOLDEN YEARS FOR THE ELDERLY CORP","Assisted Living Facility","13184 S.W. 19 TERRACE","MIAMI","33175","(305) 229-7007","6"
"11965546","AUS SENIOR LIVING AT BARTOW, LLC","Assisted Living Facility","290 N. IDLEWOOD AVENUE","BARTOW","33830","(863) 519-3398","36"
"11965547","MICHT CORP","Assisted Living Facility","2907 NORTH BOULEVARD","TAMPA","33602-1207","(813) 221-5114","8"
"11965550","LINDSAY'S ALTERNATIVE CARE INC.","Assisted Living Facility","6463 NW 43RD COURT","CORAL SPRINGS","33067","(954) 383-1295","6"
"11965554","SANDHILL GARDENS RETIREMENT CENTER","Assisted Living Facility","24949 SANDHILL BLVD","PUNTA GORDA","33983","(941) 764-6577","70"
"11965555","WILLOWBROOK","Assisted Living Facility","1580 SOUTH MARION AVENUE","LAKE CITY","32025","(386) 752-4454","100"
"11965559","PONDS EDGE ASSISTED LIVING FACILITY","Assisted Living Facility","7952 PONDS EDGE LN","ZEPHYRHILLS","33540-1972","(813) 298-7985","16"
"11965569","SONATA BOCA RATON","Assisted Living Facility","9591 YAMATO ROAD","BOCA RATON","33434","(561) 477-8808","88"
"11965570","BROOKDALE ST AUGUSTINE","Assisted Living Facility","150 MARINER HEALTH WAY","SAINT AUGUSTINE","32086","(904) 794-9988","115"
"11965572","GOLDEN PALMS-ASSISTED LIVING FACILITY, INC.","Assisted Living Facility","7280 NW 169 STREET","MIAMI","33015","(305) 826-9261","6"
"11965575","CAMINO DE ESPERANZA INC","Assisted Living Facility","5903 SW 147TH PL","MIAMI","33193-2454","(305) 846-9527","6"
"11965578","WINDSOR, THE","Assisted Living Facility","2800 60TH AVENUE, WEST","BRADENTON","34207","(941) 752-1990","54"
"11965579","VILLA ESMERALDA ALF","Assisted Living Facility","10310 NW 30 COURT","MIAMI","33147","(305) 693-9300","6"
"11965587","AVENTURA BAY PLACE LLC","Assisted Living Facility","10401 ROOSEVELT BLVD","SAINT PETERSBURG","33716","(727) 563-9733","105"
"11965588","SWEET DREAMS ALF, LLC","Assisted Living Facility","1361 SW 142ND CT","MIAMI","33184-3225","(305) 225-5333","6"
"11965589","THE CLUB AT ST. CLOUD","Assisted Living Facility","3791 OLD CANOE CREEK RD","SAINT CLOUD","34769","(407) 892-8502","45"
"11965596","HAINES MANOR ALF","Assisted Living Facility","301 S 10TH ST","HAINES CITY","33844-5601","(863) 547-4440","109"
"11965603","BRIDGE ASSISTED LIVING AT LIFE CARE CENTER OF ORLANDO (THE)","Assisted Living Facility","3201 ROUSE ROAD","ORLANDO","32817","(407) 384-5858","114"
"11965608","REGO'S ALF INC","Assisted Living Facility","9605 SW 144 PLACE","MIAMI","33186","(305) 385-2880","6"
"11965612","MATHISON RETIREMENT COMMUNITY","Assisted Living Facility","3637 W HIGHWAY 390","PANAMA CITY","32405-2728","(850) 215-4663","100"
"11965614","HAWTHORNE INN OF BRANDON","Assisted Living Facility","859 W LUMSDEN ROAD","BRANDON","33511","(813) 661-8998","64"
"11965618","SUNNY DAY HEALTH SERVICES INC","Assisted Living Facility","12730 NW 6 LANE","MIAMI","33182","(305) 426-2613","6"
"11965619","THE GOLDEN YEARS GROUP CORP.","Assisted Living Facility","3460 SW 137TH AVE","MIAMI","33175-7234","(786) 223-2836","6"
"11965625","ACTIVE SENIOR LIVING RESIDENCE","Assisted Living Facility","9057 NW 57TH ST","TAMARAC","33351-4305","(954) 721-1115","72"
"11965626","ABBEY'S CARING RESIDENCE","Assisted Living Facility","1930 LINCOLN ST","HOLLYWOOD","33020-3510","(954) 589-5904","21"
"11965627","SAFE AND SECURE RESPITE CARE, LLC","Assisted Living Facility","3091 SKYLINE DRIVE","CRESTVIEW","32539","(850) 398-5207","8"
"11965628","ALL STAR ASSISTED LIVING, LLC","Assisted Living Facility","1131 W LAKE BRANTLEY ROAD","ALTAMONTE SPRINGS","32714","(407) 389-9930","13"
"11965634","SODALIS TAMPA","Assisted Living Facility","2626 WEST BEARSS AVENUE","TAMPA","36618","(813) 960-5346","133"
"11965636","JENNIFER GARDENS","Assisted Living Facility","7334 JENNIFER STREET","PORT RICHEY","34668","(727) 863-7866","50"
"11965639","UNIQUE ASSISTED LIVING RESIDENCE","Assisted Living Facility","8501 NW 38TH STREET","CORAL SPRINGS","33065","(954) 575-8585","6"
"11965649","GV FORT PIERCE OPCO LLC","Assisted Living Facility","2909 S 25TH ST","FORT PIERCE","34981-5610","(772) 466-1919","79"
"11965656","DAISY CUIDADO DE ANCIANOS INC","Assisted Living Facility","6510 NW 2ND ST","MIAMI","33126-4402","(305) 262-0728","6"
"11965657","RESIDENTIAL HOME FOR ADULT CARE I, INC.","Assisted Living Facility","1535 NW 25 AVE","MIAMI","33125","(305) 633-9106","14"
"11965658","PALM COTTAGES OF ROCKLEDGE","Assisted Living Facility","3821 SUNNYSIDE COURT","ROCKLEDGE","32955","(321) 633-1819","112"
"11965659","EMERALD GARDEN INC","Assisted Living Facility","2159 MCMULLEN BOOTH RD","CLEARWATER","33759","(727) 669-5014","20"
"11965661","SPRING HILLS LAKE MARY","Assisted Living Facility","3655 W. LAKE MARY BLVD","LAKE MARY","32746","(407) 688-1660","102"
"11965663","LITTLE GABLES RETIREMENT HOME INC","Assisted Living Facility","4045 SW 9TH TER","MIAMI","33134-2633","(305) 281-6839","6"
"11965667","ARBOR OAKS AT GREENACRES ASSISTED LIVING","Assisted Living Facility","3400 SOUTH JOG RD","GREENACRES","33467","(561) 432-4700","97"
"11965676","ISA'S LOVING ALF CORP","Assisted Living Facility","12525 SW 34TH ST","MIAMI","33175-2903","(786) 536-6780","6"
"11965677","SONATA VERO BEACH","Assisted Living Facility","2425 20TH ST","VERO BEACH","32960-6615","(772) 770-2401","120"
"11965678","SAVANNAH VILLAGES OF LAKELAND","Assisted Living Facility","6550 N SCRUM LOOP ROAD","LAKELAND","33809","(863) 816-1155","36"
"11965679","CENTER FOR INDEPENDENT LIVING (THE)","Assisted Living Facility","4700 BUCHANAN DR","FORT PIERCE","34982-7108","(772) 242-8364","6"
"11965681","ANGELS SENIOR LIVING OF DUNEDIN","Assisted Living Facility","3175 BELCHER RD","DUNEDIN","34698-9400","(727) 513-1507","43"
"11965682","ROYAL GREEN ALF, INC.","Assisted Living Facility","2011 SW 4 STREET","MIAMI","33135","(305) 643-9786","14"
"11965685","WITH OPEN ARMS RESIDENCE INC","Assisted Living Facility","6801 NW 11TH PLACE","PLANTATION","33313","(954) 587-5895","6"
"11965691","THE ANGEL'S AGE II","Assisted Living Facility","13320 SW 71ST ST","MIAMI","33183-2310","(305) 408-7287","6"
"11965692","DEBORAH A ALANIZ","Assisted Living Facility","10394 CALICO WARBLER AVE","WEEKI WACHEE","34613-5317","(352) 597-9633","6"
"11965695","HARBOR PLACE AT PORT ST LUCIE, THE","Assisted Living Facility","3700 SE JENNINGS RD","PORT ST LUCIE","34952-7701","(772) 337-4330","128"
"11965703","MARTIN RESIDENCES, INC","Assisted Living Facility","19940 SW 124TH CT","MIAMI","33177-4938","(786) 457-0743","6"
"11965704","SOL ASSISTED LIVING FACILITY INC","Assisted Living Facility","2400 SW 137TH CT","MIAMI","33175","(305) 364-5142","6"
"11965706","SERENITY BREEZE ASSISTED LIVING CORP","Assisted Living Facility","12200 SW 2ND ST","MIAMI","33184-1502","(786) 610-8113","6"
"11965709","GOOD SAM'S ASSISTED LIVING RESIDENCE, LLC","Assisted Living Facility","1 PEBBLE WOOD LN","PALM COAST","32164","(386) 447-8145","6"
"11965711","BELLA LUNA RETIREMENT HOME II INC","Assisted Living Facility","11511 SW 128TH ST","MIAMI","33176-4484","(786) 525-7466","6"
"11965713","BROOKDALE HIGHLANDS","Assisted Living Facility","4250 LAKELAND HIGHLANDS RD","LAKELAND","33813","(863) 701-7820","105"
"11965715","DAVI'S ALF, INC","Assisted Living Facility","14733 SW 113 LANE","MIAMI","33196","(305) 382-3487","6"
"11965718","TERRACINA GRAND","Assisted Living Facility","6825 DAVIS BLVD","NAPLES","34104","(239) 455-1459","200"
"11965719","SUNSET GARDENS CARE LLC","Assisted Living Facility","8100 SW  95 COURT","MIAMI","33173","(305) 598-4488","6"
"11965722","EDEM HOME CARE, INC.","Assisted Living Facility","4783 NW 195TH ST","MIAMI GARDENS","33055-2048","(305) 749-6464","6"
"11965725","VISIONDEL ALF","Assisted Living Facility","5012 NORTH RIDGE ST N","SAINT PETERSBURG","33709-3208","(727) 545-9188","10"
"11965733","AHAVA SENIOR RESIDENCES AT AVENTURA","Assisted Living Facility","2777 NE 183RD ST","AVENTURA","33160","(305) 918-0000","171"
"11965734","MARY'S HOME INC","Assisted Living Facility","14158 NW 88TH PL","MIAMI LAKES","33018-7358","(786) 401-6639","6"
"11965736","BEAUTY DOLL HOUSE LLC","Assisted Living Facility","8735 SW 132ND CT","MIAMI","33183-4170","(305) 388-6519","6"
"11965738","STARLIGHT ALF AT HUDSON","Assisted Living Facility","7211 BEACONWOODS DRIVE","HUDSON","34667","(321) 877-9292","14"
"11965739","SUNCOAST CLUB AT PRESTANCIA","Assisted Living Facility","3749 SARASOTA SQUARE BLVD","SARASOTA","34238","(941) 922-1669","100"
"11965740","RESIDENCIA SALOME INC","Assisted Living Facility","3525 SW 130 AVENUE","MIAMI","33175","(305) 926-9169","6"
"11965741","ABUELITAS HOME, INC","Assisted Living Facility","15257 SW 61ST ST","MIAMI","33193-2559","(305) 387-3808","6"
"11965742","CARING FOR YOU 1 ALF INC","Assisted Living Facility","5210 SW 5TH TER","CORAL GABLES","33134-1124","(786) 327-8141","6"
"11965743","CENTURY OAKS","Assisted Living Facility","4001 STACK BLVD","MELBOURNE","32901","(321) 772-4440","95"
"11965744","WESTMINSTER ST AUGUSTINE","Assisted Living Facility","230 TOWERVIEW DRIVE","SAINT AUGUSTINE","32092","(904) 940-4800","36"
"11965745","MARANATHA MANOR, INC.","Assisted Living Facility","54 MARANATHA BLVD","SEBRING","33870-6818","(863) 471-2766","20"
"11965746","M.D. RETIREMENT HOME INC","Assisted Living Facility","13920 SW 71ST LN","MIAMI","33183-2112","(305) 386-4259","6"
"11965748","MABLEX HOME CARE, INC.","Assisted Living Facility","13391 SW 27TH ST","MIAMI","33175-7127","(305) 554-7511","6"
"11965758","SABRENA'S RETIREMENT RESORT 2, INC","Assisted Living Facility","2528 WOODHAVEN COURT","ORLANDO","32818","(407) 296-9349","6"
"11965763","BARRINGTON TERRACE - FT MYERS","Assisted Living Facility","9731 COMMERCE CENTER COURT","FORT MYERS","33908","(239) 334-2500","135"
"11965767","SOME PLACE LIKE HOME, INC. #3","Assisted Living Facility","4217 CHIPPEWA DRIVE","JACKSONVILLE","32210","(904) 674-0875","6"
"11965769","GARDENS OF ALOES ASSISTED LIVING FACILITY, LLC","Assisted Living Facility","7438 NW 47TH PLACE","LAUDERHILL","33319","(954) 578-3635","6"
"11965771","SAN JUDAS HOME CARE CORP.","Assisted Living Facility","10720 NW 5 AVENUE","MIAMI","33168","(305) 796-1118","6"
